timestamp,unix_time,synaptic_weight,smoothed_weight
2025-12-11 00:59:17.954,1765375157.9545028,0.6569,0.6557947516591587
2025-12-11 00:59:18.339,1765375158.3390448,0.6491,0.6537863261614111
2025-12-11 00:59:18.347,1765375158.3473303,0.6491,0.6523804283129877
2025-12-11 00:59:18.919,1765375158.919941,0.6481,0.6510962998190913
2025-12-11 00:59:19.512,1765375159.5126483,0.6481,0.6501974098733638
2025-12-11 00:59:19.520,1765375159.520906,0.6481,0.6495681869113547
2025-12-11 00:59:19.544,1765375159.5441413,0.65,0.6496977308379482
2025-12-11 00:59:20.133,1765375160.1339765,0.6471,0.6489184115865637
2025-12-11 00:59:20.138,1765375160.13894,0.6481,0.6486728881105945
2025-12-11 00:59:20.717,1765375160.717379,0.6471,0.6482010216774161
2025-12-11 00:59:20.723,1765375160.7237847,0.6481,0.6481707151741912
